schema,table,column_count
auth,audit_log_entries,4
auth,flow_state,17
auth,identities,7
auth,instances,5
auth,mfa_amr_claims,5
auth,mfa_challenges,7
auth,mfa_factors,13
auth,oauth_authorizations,15
auth,oauth_client_states,4
auth,oauth_clients,11
auth,oauth_consents,5
auth,one_time_tokens,5
auth,refresh_tokens,6
auth,saml_providers,9
auth,saml_relay_states,8
auth,schema_migrations,0
auth,sessions,15
auth,sso_domains,5
auth,sso_providers,5
auth,users,23
public,_policy_backup,3
public,analytics_events,11
public,audit_logs,7
public,course_engagement,4
public,courses,9
public,lessons,10
public,modules,4
public,org_invites,9
public,organization_memberships,5
public,organization_profiles,4
public,organizations,4
public,user_profiles,8
storage,buckets,9
storage,buckets_analytics,4
storage,buckets_vectors,2
storage,migrations,2
storage,objects,7
storage,s3_multipart_uploads,8
storage,s3_multipart_uploads_parts,8
storage,vector_indexes,6
